CWE15_External_Control_of_System_or_Configuration_Setting,,
CWE23_Relative_Path_Traversal,,
CWE36_Absolute_Path_Traversal,,
CWE78_OS_Command_Injection,,
CWE90_LDAP_Injection,,
CWE114_Process_Control,,
CWE121_Stack_Based_Buffer_Overflow,,
CWE122_Heap_Based_Buffer_Overflow,,
CWE123_Write_What_Where_Condition,,
CWE124_Buffer_Underwrite,,
CWE126_Buffer_Overread,,
CWE127_Buffer_Underread,,
CWE134_Uncontrolled_Format_String,,
CWE176_Improper_Handling_of_Unicode_Encoding,,
CWE188_Reliance_on_Data_Memory_Layout,,
CWE190_Integer_Overflow,,
CWE191_Integer_Underflow,,
,,
File#,sink_keyword,
CWE15_External_Control_of_System_or_Configuration_Setting__w32,if (!SetComputerNameA(data)),
CWE23_Relative_Path_Traversal__char_connect_socket_fopen,"pFile = FOPEN(data, ""wb+"");",
CWE23_Relative_Path_Traversal__char_connect_socket_ifstream,inputFile.open((char *)data);,
CWE23_Relative_Path_Traversal__char_connect_socket_ofstream,outputFile.open((char *)data);,
CWE23_Relative_Path_Traversal__char_connect_socket_open,"fileDesc = OPEN(data, O_RDWR|O_CREAT, S_IREAD|S_IWRITE);",
CWE23_Relative_Path_Traversal__char_connect_socket_w32CreateFile,"hFile = CreateFileA(data,
                            (GENERIC_WRITE|GENERIC_READ),
                            0,
                            NULL,
                            OPEN_ALWAYS,
                            FILE_ATTRIBUTE_NORMAL,
                            NULL);",
CWE23_Relative_Path_Traversal__char_console_fopen,"pFile = FOPEN(data, ""wb+"");",
CWE23_Relative_Path_Traversal__char_console_ifstream,inputFile.open((char *)data);,
CWE23_Relative_Path_Traversal__char_console_ofstream,outputFile.open((char *)data);,
CWE23_Relative_Path_Traversal__char_console_open,"fileDesc = OPEN(data, O_RDWR|O_CREAT, S_IREAD|S_IWRITE);",
CWE23_Relative_Path_Traversal__char_console_w32CreateFile,"hFile = CreateFileA(data,
                            (GENERIC_WRITE|GENERIC_READ),
                            0,
                            NULL,
                            OPEN_ALWAYS,
                            FILE_ATTRIBUTE_NORMAL,
                            NULL);",
CWE23_Relative_Path_Traversal__char_environment_fopen,"pFile = FOPEN(data, ""wb+"");",
